"","time","variable","value"
"1",2013 Q2,"actual",225079178.092857
"2",2013 Q3,"actual",197714591.76
"3",2013 Q4,"actual",-81599064.5785714
"4",2014 Q1,"actual",97121389.2657143
"5",2014 Q2,"actual",230296908.907143
"6",2014 Q3,"actual",185925968.125714
"7",2014 Q4,"actual",-76527504.98
"8",2015 Q1,"actual",98104676.0642857
"9",2015 Q2,"actual",216751489.94
"10",2015 Q3,"actual",125232766.107143
"11",2015 Q4,"actual",-105730644.321429
"12",2016 Q1,"actual",84179062.3971429
"13",2016 Q2,"actual",157616482.487143
"14",2016 Q3,"actual",186998996.48
"15",2016 Q4,"actual",-184729989.041429
"16",2017 Q1,"actual",106617127.371429
"17",2013 Q2,"pred",222912266.570376
"18",2013 Q3,"pred",199857660.466235
"19",2013 Q4,"pred",-93428091.4551842
"20",2014 Q1,"pred",104836936.559166
"21",2014 Q2,"pred",229743343.13116
"22",2014 Q3,"pred",178681559.415478
"23",2014 Q4,"pred",-117104116.062257
"24",2015 Q1,"pred",102901740.535893
"25",2015 Q2,"pred",204519634.28081
"26",2015 Q3,"pred",161390027.67151
"27",2015 Q4,"pred",-119098384.003212
"28",2016 Q1,"pred",94742727.265611
"29",2016 Q2,"pred",172568815.444797
"30",2016 Q3,"pred",161328592.87712
"31",2016 Q4,"pred",-118956611.400775
"32",2017 Q1,"pred",78155332.780416
